DATE,VALUE,VALUE_2015_BASE
2015-01-01,202.2,100.0
2015-02-01,195.0,96.4
2015-03-01,193.5,95.7
2015-04-01,189.8,93.9
2015-05-01,187.4,92.7
2015-06-01,187.1,92.5
2015-07-01,186.4,92.2
2015-08-01,184.9,91.4
2015-09-01,181.5,89.8
2015-10-01,178.2,88.1
2015-11-01,170.9,84.5
2015-12-01,165.2,81.7
2016-01-01,162.2,80.2
2016-02-01,160.4,79.3
2016-03-01,157.9,78.1
2016-04-01,159.4,78.8
2016-05-01,166.2,82.2
2016-06-01,169.2,83.7
2016-07-01,169.2,83.7
2016-08-01,168.3,83.2
2016-09-01,166.1,82.1
2016-10-01,165.0,81.6
2016-11-01,163.1,80.7
2016-12-01,167.2,82.7
2017-01-01,171.5,84.8
2017-02-01,174.9,86.5
2017-03-01,176.6,87.3
2017-04-01,178.2,88.1
2017-05-01,179.6,88.8
2017-06-01,180.6,89.3
2017-07-01,180.2,89.1
2017-08-01,180.6,89.3
2017-09-01,183.2,90.6
2017-10-01,182.8,90.4
2017-11-01,178.4,88.2
2017-12-01,178.3,88.2
2018-01-01,178.1,88.1
2018-02-01,187.2,92.6
2018-03-01,192.3,95.1
2018-04-01,197.6,97.7
2018-05-01,205.0,101.4
2018-06-01,210.1,103.9
2018-07-01,212.0,104.8
2018-08-01,217.1,107.4
2018-09-01,218.2,107.9
2018-10-01,217.5,107.6
2018-11-01,217.3,107.5
2018-12-01,218.3,108.0
2019-01-01,218.7,108.2
2019-02-01,217.1,107.4
2019-03-01,216.2,106.9
2019-04-01,216.8,107.2
2019-05-01,213.8,105.7
2019-06-01,211.4,104.5
2019-07-01,202.5,100.1
2019-08-01,199.2,98.5
2019-09-01,198.0,97.9
2019-10-01,193.2,95.5
2019-11-01,189.7,93.8
2019-12-01,186.2,92.1
